@nxr	Rel_Inc	NIIY	tby	tradey	totqn	resid_ave	resid_diff	resid_diff2	resid_ECM1	resid_ECM2	resid_ECM3	resid_ECM3srlr	resid_ECM3sr	resid_home	resid_foreign@
-0.1907472	-0.1516521	0.0082177	-0.0286986	0.2185732	-0.2067363	0.095971	-0.0297461	0.0818916	-0.0171261	-0.0195771	-0.0205609	-0.0205609	-0.0325944	0.3511701	0.3306092
-0.2088853	-0.1497753	0.0037868	-0.0310219	0.221266	-0.2060207	0.0757534	-0.0198014	0.0617783	-0.0087449	-0.0075242	-0.0083806	-0.0083806	-0.0172131	0.3683921	0.3600115
-0.2165219	-0.1493938	0.0042516	-0.0325186	0.2259129	-0.1921027	0.0637933	-0.0096199	0.0518466	0.0003127	0.0001276	-0.0061616	-0.0061616	-0.0166021	0.3728991	0.3667376
-0.2159271	-0.1530058	0.0087233	-0.0326941	0.2275926	-0.1736654	0.0627781	0.0019839	0.0535185	0.010531	0.0084285	0.0088353	0.0088353	0.0003377	0.3699785	0.3788137
-0.2401129	-0.1353819	0.0019095	-0.0363214	0.2336174	-0.1739146	0.021039	-0.0414635	0.011743	-0.0342287	-0.0269783	-0.0251566	-0.0251566	-0.029455	0.3901397	0.3649831
-0.2418177	-0.147938	0.0086321	-0.0369187	0.2361956	-0.2047452	0.0406225	0.0154022	0.0268333	0.0193372	0.0165868	0.0099267	0.0099267	0.0038086	0.3696338	0.3795605
-0.2515262	-0.1289685	0.0054491	-0.0391428	0.2430662	-0.2144054	0.0146805	-0.0270379	-0.0005165	-0.0199156	-0.0114319	-0.0055079	-0.0055079	-0.0101417	0.3914061	0.3858982
-0.2597709	-0.1338665	0.0050397	-0.0397339	0.2407381	-0.2372648	0.0178083	0.0001082	-0.0007203	0.0057513	0.0057146	0.0004587	0.0004587	-0.0051337	0.3472842	0.3477429
-0.2586437	-0.1239212	-0.0029976	-0.0390721	0.2375174	-0.2484402	0.0121554	-0.0069696	-0.0080019	0.0002124	0.0053977	0.0031013	0.0031013	-0.0043058	0.3350656	0.3381669
-0.26227	-0.1357687	-0.0010071	-0.0380636	0.2289324	-0.2848212	0.0306808	0.0135352	0.0052214	0.0204277	0.0186571	0.0132872	0.0132872	0.0001139	0.3109781	0.3242653
-0.2918046	-0.1426861	-0.0029124	-0.0401496	0.2223265	-0.2910678	0.0098328	-0.0214464	-0.0165369	-0.011	-0.0124659	-0.0067464	-0.0067464	-0.0219269	0.3308118	0.3240654
-0.3096555	-0.1480734	-0.0076661	-0.0410696	0.2170596	-0.3082662	0.0022403	-0.0097869	-0.0266359	-0.0006098	-0.0008003	0.0007538	0.0007538	-0.0146621	0.3290599	0.3298137
-0.3176976	-0.1490724	-0.0002964	-0.0425822	0.2205384	-0.3214871	-0.0010582	-0.0049135	-0.0318612	0.0046778	0.0060445	0.0092683	0.0092683	-0.0098775	0.3707866	0.3800549
-0.3215957	-0.1389248	0.0020554	-0.0440316	0.2258512	-0.2895036	-0.0241626	-0.0181312	-0.0503044	-0.0072791	-0.0042209	0.0087415	0.0087415	-0.0058892	0.3905084	0.39925
-0.329175	-0.1369674	0.0025008	-0.0451613	0.2273968	-0.2733753	-0.0382673	-0.0114423	-0.0620586	-0.0039679	-0.0033373	0.0008462	0.0008462	-0.0087403	0.3659008	0.366747
-0.3637272	-0.1347444	0.0027075	-0.049244	0.2288951	-0.2758441	-0.0743433	-0.0361238	-0.0984943	-0.0307094	-0.0289422	-0.0273074	-0.0273074	-0.0346894	0.3704237	0.3431163
-0.3557065	-0.1371777	0.0027856	-0.0476013	0.2252676	-0.2366096	-0.0750017	0.0053715	-0.0934348	0.0092975	0.006698	0.0066133	0.0066133	0.0017072	0.3396595	0.3462728
-0.3725429	-0.1499264	-0.0000152	-0.049399	0.225219	-0.2160453	-0.0849138	-0.0066031	-0.1003499	-0.0049827	-0.0106885	-0.0115448	-0.0115448	-0.0140876	0.3614929	0.3499482
-0.3590175	-0.1702454	0.0005683	-0.048017	0.2255474	-0.2159869	-0.051086	0.0341483	-0.0665135	0.0337328	0.0261924	0.0241268	0.0241268	0.0215314	0.3573023	0.3814291
