@resid_ECM resid_home resid_foreign  			resid_ECMnoInv	resid_homenoInv	resid_foreingnoInv  resid_ECMbench	resid_homebench	resid_foreingbench 1979:1-2015:4@
0.008118	0.1617091	0.1698272	-0.0042208	0.3698584	0.3656375	0.0087417	0.3905078	0.3992495
0.0015325	0.1385761	0.1401086	-0.0033373	0.3542288	0.3508914	0.0008461	0.3659003	0.3667464
-0.0251221	0.1435609	0.1184387	-0.0289422	0.3617399	0.3327977	-0.0273074	0.3704231	0.3431157
0.0070673	0.1122098	0.1192772	0.006698	0.3308898	0.3375878	0.0066133	0.3396589	0.3462722
-0.0067175	0.1358752	0.1291578	-0.0106885	0.3541566	0.3434681	-0.0115447	0.3614924	0.3499477
0.0261407	0.1299446	0.1560854	0.0261924	0.3509361	0.3771286	0.0241268	0.3573017	0.3814285
0.0082744	0.1582228	0.1664972	0.0051691	0.3755118	0.3806809	0.0076011	0.3864745	0.3940756
-0.0043455	0.161083	0.1567374	-0.0087366	0.3765067	0.3677701	-0.0052624	0.3883812	0.3831189
-0.0166369	0.1673897	0.1507528	-0.020188	0.3863638	0.3661759	-0.0193278	0.3950877	0.37576
-0.0032105	0.1424916	0.1392812	-0.0054034	0.3602853	0.3548819	-0.0056101	0.3689121	0.363302
-0.0047396	0.1542057	0.1494661	-0.0046332	0.3751213	0.3704881	-0.0085714	0.381094	0.3725226
0.0056642	0.1432674	0.1489317	0.0056252	0.3631556	0.3687809	0.0042893	0.3706943	0.3749836
-0.0004157	0.1498444	0.1494287	-0.0013045	0.3666015	0.365297	-0.0019889	0.3738554	0.3718665
-0.0121439	0.134541	0.1223971	-0.0066847	0.3586568	0.3519721	-0.0141351	0.359923	0.3457879
-0.0089883	0.1666879	0.1576995	-0.0090951	0.3856327	0.3765377	-0.0084239	0.3949682	0.3865443
0.0160358	0.1644881	0.1805239	0.010659	0.3772528	0.3879119	0.0147064	0.3901832	0.4048896
-0.0092103	0.1520441	0.1428338	-0.0059882	0.37234	0.3663518	-0.0092015	0.3775729	0.3683714
-0.0179224	0.1502197	0.1322973	-0.017845	0.3684927	0.3506477	-0.0192155	0.375513	0.3562976
0.0219056	0.1448434	0.1667489	0.0262271	0.3629124	0.3891395	0.0238044	0.3686063	0.3924107
-0.0177559	0.1561882	0.1384323	-0.014235	0.3758946	0.3616596	-0.0176793	0.380239	0.3625596
-0.0002761	0.1480326	0.1477565	0.0010294	0.3657737	0.3668031	-0.0002082	0.3738874	0.3736792
0.0132736	0.1497788	0.1630523	0.0127837	0.3638754	0.3766591	0.014491	0.375087	0.3895779
0.0102723	0.1403255	0.1505978	0.0136465	0.3565939	0.3702404	0.011855	0.365179	0.3770339
-0.036985	0.1638044	0.1268194	-0.0345524	0.3807054	0.346153	-0.0369892	0.3876955	0.3507063
0.0094926	0.148489	0.1579815	0.0124982	0.3654247	0.377923	0.0098724	0.3740284	0.3839008
-0.0153788	0.1406221	0.1252434	-0.0165952	0.3537404	0.3371452	-0.0138866	0.3655171	0.3516304
-0.0084739	0.109414	0.10094	-0.0127561	0.3195942	0.3068381	-0.0071984	0.3287862	0.3215878
0.0310602	0.0400666	0.0711268	0.0298571	0.252445	0.2823022	0.0308179	0.2583827	0.2892007
0.0032668	0.0998654	0.1031321	0.0068678	0.3136651	0.3205329	0.008094	0.3226466	0.3307405
-0.0253945	0.177829	0.1524345	-0.0320043	0.387953	0.3559487	-0.0259746	0.4031681	0.3771934
0.007683	0.1836684	0.1913514	-0.001256	0.3930719	0.3918159	0.0094508	0.4143504	0.4238012
-0.0064937	0.1808066	0.1743129	-0.0248558	0.3804649	0.3556092	-0.0055674	0.40905	0.4034826
-0.0182703	0.1879693	0.169699	-0.0268842	0.3991809	0.3722966	-0.0196593	0.4152348	0.3955755
-0.0099089	0.1753702	0.1654613	-0.0135774	0.3902416	0.3766642	-0.0105081	0.4027397	0.3922317
-0.0022924	0.1562258	0.1539334	-0.0025106	0.3697338	0.3672232	-0.0014721	0.3806501	0.379178
-0.0396166	0.1545337	0.114917	-0.0327573	0.3764381	0.3436808	-0.0399589	0.3792887	0.3393298
-0.0071928	0.1547446	0.1475518	-0.0054775	0.3739244	0.3684469	-0.0094619	0.3814705	0.3720086
-0.0211774	0.1605273	0.1393499	-0.0224765	0.3735497	0.3510732	-0.0212286	0.3836209	0.3623922
0.0051967	0.1502017	0.1553984	0.0073828	0.3716937	0.3790765	0.0032581	0.3779276	0.3811857
-0.0048546	0.1613441	0.1564895	-0.0118991	0.3711278	0.3592287	-0.0067319	0.3865393	0.3798073
0.001225	0.149518	0.150743	0.0037926	0.36882	0.3726126	0.0006349	0.3749748	0.3756096
-0.003978	0.1489751	0.144997	-0.0043182	0.364661	0.3603428	-0.0044616	0.3732497	0.3687881
-0.0072533	0.1395667	0.1323133	-0.0058405	0.3566135	0.350773	-0.0092435	0.3630311	0.3537877
-0.009507	0.1447225	0.1352155	-0.0065594	0.3645416	0.3579822	-0.010726	0.3698345	0.3591086
-0.0068636	0.1608369	0.1539733	-0.0090471	0.3754876	0.3664404	-0.0077038	0.3858674	0.3781636
0.0028961	0.151536	0.1544321	0.0017073	0.3671394	0.3688467	0.0032571	0.3778385	0.3810955
0.0124843	0.1516681	0.1641524	0.0118309	0.3655382	0.377369	0.0136294	0.3766084	0.3902378
-0.0362394	0.1539736	0.1177342	-0.035529	0.3718482	0.3363192	-0.038382	0.3774885	0.3391064
-0.0057387	0.1629937	0.1572549	-0.0026847	0.3835813	0.3808966	-0.0071536	0.3886938	0.3815402
0.009677	0.1468919	0.1565688	0.0070074	0.3610383	0.3680457	0.0082508	0.3717149	0.3799658
-0.0108265	0.1683875	0.157561	-0.0107056	0.3855496	0.374844	-0.0114697	0.3925352	0.3810656
-0.0170438	0.1562126	0.1391689	-0.0183269	0.3737351	0.3554083	-0.0183626	0.3802607	0.3618982
0.0143255	0.1504092	0.1647347	0.0133953	0.3661427	0.379538	0.0132967	0.3743313	0.387628
0.0000354	0.147184	0.1472194	0.0021124	0.3651959	0.3673084	-0.0001635	0.3701651	0.3700015
-0.0012591	0.1371295	0.1358704	0.0021475	0.3561768	0.3583243	-0.0011902	0.3599812	0.358791
